Seed ID,Player ID,Phase Seed,Player,Win Rate,Sets
14786430,241831,1,SuperStriker,0.763,1041
14784292,135714,2,Ang,0.736,705
14785078,252680,3,.,0.718,1364
14789185,171379,4,Rul3r,0.674,350
14788273,253333,7,Gio(n.n)/,0.657,277
14787133,157651,5,Magic Trumpet Man,0.65,2227
14786708,1633944,8,uzaki!,0.643,591
14787402,1732507,9,Pengu28,0.615,26
14784552,1070879,10,Trenko,0.613,615
14788884,263093,11,Kaztioh,0.607,56
14787362,544762,12,Narnia,0.567,411
14787754,363513,13,djcooler50,0.564,802
14785167,1309314,14,Pokimane Prodigy,0.551,619
14787956,1733680,15,Superberry,0.55,240
14788382,1063289,16,Drewish,0.542,83
14789153,1422573,17,BlackRenown,0.538,338
14788982,1331981,18,Daveid,0.535,213
14785118,960658,19,Süpērsky64,0.526,95
14786920,1753456,21,AeRo,0.52,177
14789135,503317,22,Akira,0.511,219
14789442,530226,56,Mumbo,0.508,197
14784935,1804881,23,Marsh,0.508,183
14771773,1777361,26,ELITETITAN,0.5,66
14771324,1831893,42,xelan47156,0.5,12
14772694,1976592,40,Electro,0.5,8
14787387,1798489,20,Coolness0228,0.497,652
14788486,1684924,27,Mir4ge,0.492,187
14771269,1790213,35,meta,0.484,31
14780932,1412639,28,Xavier,0.483,149
14786246,1496057,30,C@den,0.482,220
14784453,1199403,31,LotusVII,0.481,243
14789191,360806,29,Exotic Garbage,0.476,21
14785290,1467455,32,Angelseb,0.472,159
14787296,1794760,34,Silver,0.472,72
14786120,1630230,25,Aurora,0.464,306
14785305,1068580,33,Shadow,0.463,501
14777320,1296119,36,NathanBoneCrush,0.45,369
14789130,1800366,38,Am3thyst,0.441,222
14787878,491013,39,ShinyNumber1,0.425,228
14772115,1364736,37,CoffeeFields101,0.423,78
14785669,1719609,41,BeaverSpit26,0.423,71
14785309,24025,24,Sharpedo43,0.414,883
14787990,1893633,43,SlyFelipe,0.414,70
14787845,1530531,44,BearRun,0.413,63
14780874,995041,45,Luck~!,0.41,100
14788469,699161,46,Javes,0.406,69
14788250,1418137,47,Tidal,0.373,453
14787529,1708257,48,Gamma,0.37,108
14787896,1479494,49,Mr. Weegee,0.369,141
14788275,1578176,51,Kusdo,0.365,137
14787431,2014313,54,Chillydog,0.364,11
14789162,565955,52,wack,0.355,31
14788870,1039555,53,Azumi,0.354,48
14788253,1379001,55,Fortune,0.351,37
14787302,2035944,58,Moonlight (Mario23),0.333,9
14789142,2022052,57,Spinke96 96,0.333,3
14786807,2029110,60,Zekken,0.333,3
14787280,1562522,50,Fraustin,0.287,115
14787286,1801285,59,Reaps,0.286,35
14788320,1076455,61,CamMC,0.281,135
14788615,1373280,64,Scarlat,0.275,167
14784930,2013501,62,liltwisted Gamer,0.275,51
14787579,1083938,66,HKD,0.271,96
14786954,1186899,68,Wesley,0.263,38
14788489,699152,65,Ayoe,0.263,38
14771298,1900295,67,Laura,0.263,19
14772685,1837679,70,Kelly ewe,0.217,46
14773690,1916302,69,StratosLG,0.2,5
14780209,907353,72,Legacy,0.158,19
14787920,1795393,71,Mythic,0.091,44
14788614,1592862,74,Pichurock101,0.074,54
14778715,1997603,73,IL tofu,0.059,17
14788917,1827209,76,Dartrix,0.0,18
14771902,1944421,75,crazyjgamer,0.0,8
14771268,1916316,78,CivetGrindsXP,0.0,2
14788005,2056120,77,7seven7,0,0
14783410,1901670,63,Miracle,0,0
14789178,2048433,80,Cowbell,0,0
14787169,2058537,81,WindowNipples,0,0
14787790,212441,6,Evilgoku,0,0
14787686,2054630,79,M O T H E,0,0
